video,frame,n_objects,mean_area,mean_confidence
45112025.MOV,0,0,0.0,0.0
45112025.MOV,1,0,0.0,0.0
45112025.MOV,2,1,193805.0,0.6576507687568665
45112025.MOV,3,1,194220.0,0.6649935245513916
45112025.MOV,4,2,162783.0,0.31101295351982117
45112025.MOV,5,3,218628.66666666666,0.544183353583018
45112025.MOV,6,4,213327.75,0.5089127942919731
45112025.MOV,7,4,213346.25,0.7720219194889069
45112025.MOV,8,4,212983.5,0.8260092437267303
45112025.MOV,9,4,212989.25,0.7787137925624847
45112025.MOV,10,4,212709.0,0.8448725044727325
45112025.MOV,11,4,213627.5,0.7908155620098114
45112025.MOV,12,4,214166.0,0.7493087351322174
45112025.MOV,13,4,214780.0,0.7540515065193176
45112025.MOV,14,4,214796.25,0.5490802526473999
45112025.MOV,15,4,214679.25,0.49388359983762103
45112025.MOV,16,4,215517.75,0.6339287161827087
45112025.MOV,17,4,212484.5,0.7005492746829987
45112025.MOV,18,4,212106.0,0.7179701626300812
45112025.MOV,19,4,211569.5,0.764916330575943
45112025.MOV,20,4,210898.5,0.7672410309314728
45112025.MOV,21,4,212368.0,0.7435730993747711
45112025.MOV,22,4,212759.0,0.7874674797058105
45112025.MOV,23,4,211932.75,0.8097551763057709
45112025.MOV,24,4,211495.75,0.8401570022106171
45112025.MOV,25,4,211600.25,0.7845625281333923
45112025.MOV,26,4,209784.0,0.557239313920339
45112025.MOV,27,4,209798.5,0.7433404624462128
45112025.MOV,28,4,210303.0,0.73675337433815
45112025.MOV,29,4,211083.0,0.5500439405441284
45112025.MOV,30,4,208347.25,0.6498876512050629
45112025.MOV,31,4,208612.75,0.7265624105930328
45112025.MOV,32,5,225581.4,0.6737296680609385
45112025.MOV,33,5,225767.4,0.8631607592105865
45112025.MOV,34,5,224982.2,0.6630860765775045
45112025.MOV,35,5,224519.6,0.6486895084381104
45112025.MOV,36,5,224453.0,0.6806779106458029
45112025.MOV,37,5,224441.4,0.5910426874955496
45112025.MOV,38,5,222764.8,0.7124313612778982
45112025.MOV,39,5,222763.0,0.7503319382667542
45112025.MOV,40,5,222106.6,0.5104827210307121
45112025.MOV,41,5,221440.0,0.6143626719713211
45112025.MOV,42,5,221241.8,0.6076042453447977
45112025.MOV,43,5,220805.4,0.6931303441524506
45112025.MOV,44,5,220792.8,0.6511564056078593
45112025.MOV,45,5,220032.4,0.5779085382819176
45112025.MOV,46,5,219152.4,0.5349582880735397
45112025.MOV,47,5,218890.6,0.8551612198352814
45112025.MOV,48,5,218789.6,0.8671160936355591
45112025.MOV,49,5,218409.4,0.8142334520816803
45112025.MOV,50,5,217823.8,0.747144897778829
45112025.MOV,51,6,185794.83333333334,0.5786984920501709
45112025.MOV,52,6,187022.16666666666,0.6271298378705978
45112025.MOV,53,6,187795.0,0.7184828420480093
45112025.MOV,54,6,188695.5,0.6571876704692841
45112025.MOV,55,6,189104.83333333334,0.7747366031010946
45112025.MOV,56,6,189383.5,0.713066853582859
45112025.MOV,57,6,189949.0,0.612439937889576
