video,frame,fps,track_id,cls_id,cls_name,det_confidence,x1,y1,x2,y2,box_w,box_h,area_px,area_rel,cx,cy,cx_norm,cy_norm,dist_center_norm,mean_r,mean_g,mean_b,mean_h,mean_s,mean_v,mean_L,mean_a,mean_b_lab,mean_a_c,mean_b_c,std_L,std_a,std_b_lab,contrast_gray_std,orientation_deg,vx_px_s,vy_px_s,speed_px_s,dir_deg,accel_px_s2,z_area_rel,z_speed,z_dist_center,z_contrast,saliency_score
45112025.MOV,2,29.99654417693814,1,18,sheep,0.6576510667800903,265,305,732,720,467.0,415.0,193805.0,0.21029188368055557,498.5,512.5,0.389453125,0.7118055555555556,0.2833095134534739,114.76124970975981,118.41437527411573,112.35004772838677,89.59571734475374,40.07191248935786,123.77711101364773,123.06150817871094,125.93585968017578,130.29656982421875,-2.0641403198242188,2.29656982421875,63.62126922607422,6.155832290649414,12.234506607055664,61.70288310188944,-173.75352597046418,,,,,,0.0,0.0,0.0,0.0,0.2298734486103058
45112025.MOV,3,29.99654417693814,1,18,sheep,0.6649954319000244,264,305,732,720,468.0,415.0,194220.0,0.2107421875,498.0,512.5,0.3890625,0.7118055555555556,0.2837730957633446,114.79191123468232,118.4459015549377,112.40018535681186,89.4500360416023,39.93703017196993,123.81136340232726,123.11255645751953,125.93763732910156,130.2875518798828,-2.0623626708984375,2.2875518798828125,63.43824005126953,6.1623663902282715,12.235067367553711,61.531849500048295,-173.1691171435481,-14.99827208846907,0.0,14.99827208846907,180.0,,0.0,0.0,0.0,0.0,0.21911835670471191
45112025.MOV,4,29.99654417693814,1,14,bird,0.3007178008556366,262,306,731,720,469.0,414.0,194166.0,0.21068359375,496.5,513.0,0.387890625,0.7125,0.2856653499013765,114.92716541516022,118.52748163942194,112.56525344293027,89.83622261363988,40.018710793856805,123.93998434329389,123.20313262939453,125.97198486328125,130.25213623046875,-2.02801513671875,2.25213623046875,63.58832931518555,6.161631107330322,12.222795486450195,61.68623870025957,-174.58560813245523,-44.99481626540721,14.99827208846907,47.42870076649268,161.565051177078,1005.9987795687283,0.9999998807907104,1.0,-1.0000001192092896,1.0000004768371582,0.19193923473358154
45112025.MOV,4,29.99654417693814,3,18,sheep,0.3213079869747162,696,194,1280,419,584.0,225.0,131400.0,0.142578125,988.0,306.5,0.771875,0.42569444444444443,0.47948694838677647,128.37485540334856,137.46542617960426,110.79884322678842,59.42189497716895,49.79011415525114,138.99959665144596,140.7053680419922,120.28760528564453,140.656005859375,-7.712394714355469,12.656005859375,55.49809265136719,8.000136375427246,13.908560752868652,54.4094705943245,-146.55108281888113,,,,,,-0.999999463558197,-1.0,0.9999997615814209,-0.999999463558197,0.08600273728370667
45112025.MOV,5,29.99654417693814,1,14,bird,0.5466365814208984,260,306,730,720,470.0,414.0,194580.0,0.2111328125,495.0,513.0,0.38671875,0.7125,0.2870666647791573,114.59095487717134,118.22716106485764,112.06091067941206,89.66654846335697,40.33119025593586,123.59829376092095,122.86067199707031,125.9245834350586,130.3534393310547,-2.0754165649414062,2.3534393310546875,63.77859878540039,6.223196506500244,12.31555461883545,61.8482716538952,-174.3275423987282,-44.99481626540721,0.0,44.99481626540721,180.0,449.8963312795007,-0.29105842113494873,0.9856202006340027,-1.3712022304534912,0.4548744857311249,0.19605544209480286
45112025.MOV,5,29.99654417693814,3,18,sheep,0.26953771710395813,695,195,1280,420,585.0,225.0,131625.0,0.142822265625,987.5,307.5,0.771484375,0.4270833333333333,0.47860861796730536,127.72788603988603,136.88606267806267,110.03507692307691,58.32556885090218,50.12291737891738,138.39352706552705,140.04615783691406,120.22958374023438,140.74111938476562,-7.770416259765625,12.741119384765625,56.240745544433594,8.029438018798828,14.02362060546875,55.087417639494554,-137.366354522443,-14.99827208846907,29.99654417693814,33.53715593485458,116.56505117707799,,-1.0529961585998535,0.38549235463142395,0.9853565692901611,-1.3870983123779297,0.09514109045267105
45112025.MOV,5,29.99654417693814,4,14,bird,0.8163770437240601,1,247,698,720,697.0,473.0,329681.0,0.35772677951388887,349.5,483.5,0.273046875,0.6715277777777777,0.4298801244067373,130.92873717320683,140.13873714287448,123.26194108850676,77.66342616043994,49.1091812994986,144.51517679211116,143.3779754638672,122.54634857177734,135.3396453857422,-5.453651428222656,7.3396453857421875,65.27757263183594,9.339981079101562,15.608991622924805,63.60036539806032,-141.0718193620282,,,,,,1.344054937362671,-1.37111234664917,0.38584524393081665,0.9322269558906555,0.18322965502738953
45112025.MOV,6,29.99654417693814,1,14,bird,0.605196475982666,258,306,730,720,472.0,414.0,195408.0,0.21203125,494.0,513.0,0.3859375,0.7125,0.288005136160302,114.58796466879555,118.23678662081389,111.97987799885368,89.55329873904856,40.6893218291984,123.60419225415542,122.8367919921875,125.90524291992188,130.3981170654297,-2.094757080078125,2.3981170654296875,64.07745361328125,6.252942085266113,12.370870590209961,62.1191511061932,-173.7359796916443,-29.99654417693814,0.0,29.99654417693814,180.0,449.89633127950066,-0.24696531891822815,0.21993379294872284,-0.983600914478302,0.3955083191394806,0.20948344469070435
45112025.MOV,6,29.99654417693814,3,18,sheep,0.28872552514076233,693,195,1280,421,587.0,226.0,132662.0,0.1439474826388889,986.5,308.0,0.770703125,0.42777777777777776,0.4771605750536082,127.7630142768841,136.92626373792044,110.04012452699341,58.1955797440111,50.16998839155146,138.43310066183233,140.0738983154297,120.22666931152344,140.75567626953125,-7.7733306884765625,12.75567626953125,56.36316680908203,8.0355806350708,14.044205665588379,55.20259589044384,-139.6911841184562,-29.99654417693814,14.99827208846907,33.53715593485458,153.434948822922,636.2494933573688,-1.1117146015167236,0.44192859530448914,1.2564882040023804,-1.6955803632736206,0.10213052481412888
45112025.MOV,6,29.99654417693814,4,14,bird,0.6896297335624695,0,245,697,720,697.0,475.0,331075.0,0.3592393663194444,348.5,482.5,0.272265625,0.6701388888888888,0.43060430415931555,130.85131767726347,140.06053311183265,123.11368723098995,77.67978554708148,49.4084814619044,144.4381514762516,143.2783203125,122.532958984375,135.3765106201172,-5.467041015625,7.3765106201171875,65.47940063476562,9.348920822143555,15.638144493103027,63.78292934751605,-156.13119448423407,-29.99654417693814,-29.99654417693814,42.42151959934961,-135.0,,1.6227625608444214,0.9989744424819946,0.7051417231559753,0.8985192775726318,0.1961195021867752
